symbol,autocorr_1d,autocorr_5d,autocorr_20d,correlation,p_value,strength
BDL.NS,0.05447432890014755,0.04505798718291872,0.03892540339744812,0.05447432890014756,0.016002810521598115,Moderate Momentum
COFORGE.NS,-0.03385092983384664,0.006906961015657108,0.07633754458496854,-0.03385092983384666,0.10773245277667447,Weak/Random
ASTRAL.NS,-0.003405390455238602,0.03846635964272092,0.01722980195510302,-0.0034053904552385846,0.871518769854507,Weak/Random
TORNTPHARM.NS,-0.015645831489418636,-0.021372635367278868,0.0001385147878508608,-0.015645831489418616,0.4574217716783661,Weak/Random
EXIDEIND.NS,-0.03959571638709622,0.03354796693508586,0.004977064311174951,-0.039595716387096205,0.05988509738620526,Weak/Random
HEROMOTOCO.NS,0.0012653970685438391,-0.05977508854126693,0.010318262127979413,0.0012653970685438014,0.9520682521411329,Weak/Random
HAL.NS,0.07000524912298113,0.04188458934555164,0.02776737884399553,0.07000524912298112,0.0019750730904097686,Moderate Momentum
MPHASIS.NS,-0.025034681853275318,-0.015468470140567691,0.0032670585066741902,-0.025034681853275325,0.23438611340553905,Weak/Random
PERSISTENT.NS,0.04493251522833425,-0.0005426749038002825,0.030197296230584588,0.044932515228334226,0.03275953753981594,Weak/Random
UPL.NS,0.001956779634830602,0.00043161489028992276,-0.01479832700973823,0.001956779634830604,0.9259414783711977,Weak/Random
SONACOMS.NS,-0.023308899281084684,-0.012884358342170296,0.0585868102429651,-0.02330889928108471,0.42890543154154753,Weak/Random
INDUSINDBK.NS,0.047888392942036645,-0.03333120820775514,-0.0033351643956598966,0.047888392942036666,0.022838194398080436,Weak/Random
COLPAL.NS,0.0035984266444995835,0.002008176756549386,-0.009532473768130314,0.003598426644499561,0.8643044332511434,Weak/Random
YESBANK.NS,0.053274803088688955,-0.021362568525153277,0.03403196884610458,0.05327480308868899,0.011325499953172865,Moderate Momentum
MAZDOCK.NS,0.02881558381915429,0.020264749928126713,0.006498214589685052,0.028815583819154292,0.2940313714181361,Weak/Random
OBEROIRLTY.NS,0.050142045350519145,-0.04611094072234731,-0.03196226078299892,0.05014204535051914,0.017203850959547587,Moderate Momentum
TECHM.NS,-0.02824980234906141,0.01863320503141932,0.05788165776102696,-0.028249802349061368,0.17952861919989946,Weak/Random
HDFCLIFE.NS,-0.005048209209553137,0.03136092048275906,0.03923346328325968,-0.005048209209553153,0.8197031137491817,Weak/Random
TCS.NS,-0.016820234500185077,0.045069205138200556,0.07500320417258391,-0.01682023450018508,0.42425449975226726,Weak/Random
LTIM.NS,0.034388116479993874,-0.0013299363295185952,0.03707737032381691,0.03438811647999384,0.1023329521958882,Weak/Random
SBILIFE.NS,0.011979022643490291,-0.03547591807124776,0.04377573496323857,0.011979022643490286,0.5856861159427239,Weak/Random
IDEA.NS,0.01264586692895578,0.006799085835709974,0.006830107476686266,0.012645866928955809,0.548015848342714,Weak/Random
COCHINSHIP.NS,0.06944842870753618,0.007907083104391699,0.004250005914479587,0.0694484287075362,0.001423778788522627,Moderate Momentum
SUPREMEIND.NS,0.010823105214431502,0.03252738640151697,-0.0011492950053585628,0.010823105214431505,0.6072330398826251,Weak/Random
NAUKRI.NS,0.015192478604908567,-0.03209454313986049,0.03957927222700992,0.015192478604908556,0.470562313089984,Weak/Random
BEL.NS,-0.011548433794563221,0.0031654771778261864,0.013284669284035596,-0.011548433794563192,0.5832804702462178,Weak/Random
ADANIENT.NS,0.05620580213700274,-0.0034018878216565307,0.012822758402209804,0.05620580213700274,0.007539258940163592,Moderate Momentum
OFSS.NS,0.014160507744405635,0.05025915572516175,0.03741594258075639,0.01416050774440561,0.5012361396475724,Weak/Random
MFSL.NS,-0.019429995004558883,-0.007579921048238274,-0.014244919581085598,-0.019429995004558887,0.356080960415339,Weak/Random
APLAPOLLO.NS,0.04789056780960696,0.004281458395961136,0.007165193922041023,0.04789056780960694,0.02286219521559309,Weak/Random
POLYCAB.NS,0.044648771775157234,-0.0012639089883863793,0.010869096518575264,0.04464877177515725,0.06625699311050226,Weak/Random
ABB.NS,0.05229514987380188,0.013081044552656717,0.005557300320064206,0.052295149873801884,0.012943961795573332,Moderate Momentum
MRF.NS,-0.045010686867459994,0.0582851010482395,0.015046523564931285,-0.04501068686746003,0.03249548181559565,Weak/Random
LICI.NS,0.0072152343987058444,0.06048372654755498,0.004209622573953618,0.007215234398705855,0.825795534441191,Weak/Random
WIPRO.NS,-0.004972312072425255,-0.0009498286318504195,0.04575112443837626,-0.004972312072425255,0.8132779675689488,Weak/Random
CONCOR.NS,-0.026744284503369412,0.027398798237638772,0.024216636135735554,-0.026744284503369416,0.20385277304359484,Weak/Random
GODREJCP.NS,0.0065355073527745555,-0.008457562727490434,-0.0024204246662011984,0.006535507352774563,0.7562656772485191,Weak/Random
PIIND.NS,-0.009353444289230363,-0.0087849139175764,0.03520157417783812,-0.00935344428923037,0.6568802975464478,Weak/Random
NATIONALUM.NS,-0.005978688155288456,0.039791018272724576,0.03903096377256294,-0.0059786881552884655,0.7764058117857585,Weak/Random
COALINDIA.NS,-0.007853194640801487,0.022560364589385568,0.034038181814367845,-0.007853194640801477,0.709108873286554,Weak/Random
CANBK.NS,0.005719118687146315,0.02614946784737705,-0.008683902196894015,0.005719118687146288,0.7858716084455015,Weak/Random
HAVELLS.NS,-0.00408084046852728,-0.005856953824719605,0.00829737693428835,-0.00408084046852728,0.8463258219971358,Weak/Random
PRESTIGE.NS,-0.005432854914742806,0.01453797008258227,0.031019518500500106,-0.005432854914742797,0.7963476263977792,Weak/Random
INFY.NS,-0.022820683565334933,0.03820463617653665,0.060832075360880936,-0.02282068356533495,0.2782833491924488,Weak/Random
AUROPHARMA.NS,-0.03127594167493391,0.02726340944514728,-0.015365203282343611,-0.03127594167493391,0.13743938754316956,Weak/Random
HCLTECH.NS,-0.03535347649845651,0.04487884709391841,0.042066720077988534,-0.03535347649845654,0.09297515592805222,Weak/Random
BAJAJ-AUTO.NS,-0.012678185480383321,0.00045423574201086436,0.019057042647294662,-0.012678185480383321,0.5470823370432875,Weak/Random
BOSCHLTD.NS,-0.0017173320036626511,-0.002536795816043953,-0.016161058752784785,-0.0017173320036626507,0.9350111713393305,Weak/Random
SOLARINDS.NS,0.02305890388065838,0.029217136408342836,-0.02007569454399618,0.02305890388065836,0.2734020858107554,Weak/Random
BRITANNIA.NS,-0.011605505503673877,0.013819461435553921,0.015592882381816315,-0.011605505503673907,0.5815882617216269,Weak/Random
ONGC.NS,-0.060882528184024544,0.04410552182198135,0.0181404379594312,-0.06088252818402455,0.0037944147007623976,Mean Reverting
BHARTIARTL.NS,-0.03715527976189417,0.012664140389846531,-0.0019141406520270191,-0.037155279761894186,0.07746579953964625,Weak/Random
TATAELXSI.NS,0.05731155041588136,0.05060644241960837,0.0047950723132371255,0.05731155041588138,0.00643620594268134,Moderate Momentum
GODREJPROP.NS,0.05444148633108033,0.021764154448804827,-0.012081887815206692,0.05444148633108033,0.009652565471779147,Moderate Momentum
KPITTECH.NS,0.09832922287113148,0.03437515671210033,-0.0005773658596918273,0.09832922287113145,5.11519686380197e-05,Moderate Momentum
PAGEIND.NS,0.018525271744216747,-0.0028426095508907656,-0.00015296745903381438,0.018525271744216767,0.3791359429164901,Weak/Random
ITC.NS,-0.02557104689679233,0.07750283081304545,-0.03885598433881372,-0.025571046896792328,0.22440779051450063,Weak/Random
SIEMENS.NS,-0.013140857378959389,0.04542328541061046,0.012404668330507546,-0.01314085737895937,0.5325527684794673,Weak/Random
ADANIPORTS.NS,-0.040684861386865744,0.0077120646941925665,0.029216134142432838,-0.04068486138686574,0.053182201951356825,Weak/Random
HINDUNILVR.NS,-0.056600427408954775,0.013107883587823384,0.020044921411976394,-0.05660042740895486,0.0071275259666284795,Mean Reverting
MOTHERSON.NS,0.0149053859253493,-0.031462716710046065,-0.052770564977993845,0.014905385925349299,0.4788928486934685,Weak/Random
CIPLA.NS,-0.04864983927126756,0.02526858421691131,-0.017248861236869313,-0.04864983927126755,0.020757597122553265,Weak/Random
ICICIGI.NS,-0.038496952076093036,-0.0190597999261902,0.0026734508460168472,-0.03849695207609306,0.07963809602352892,Weak/Random
UNIONBANK.NS,0.017707426877321793,0.04538386739273021,-0.01438744394083536,0.017707426877321804,0.40022731163413744,Weak/Random
BANKINDIA.NS,0.07208538099547344,0.03427194178700295,-0.027615745060315965,0.07208538099547346,0.0006064651683515219,Moderate Momentum
PHOENIXLTD.NS,-0.034834124166827435,-0.006652500655230916,-0.04192009867435603,-0.034834124166827435,0.09795531617942511,Weak/Random
MARICO.NS,-0.04643332187238887,-0.017270796547244213,-0.009991533800426217,-0.046433321872388855,0.02735556559360794,Weak/Random
UNITDSPR.NS,0.07911784085913626,-0.05088532844813526,-0.0035756328219591397,0.07911784085913635,0.1033539990289775,Weak/Random
TATATECH.NS,0.07008385393217863,-0.050913838720246934,-0.03789634836418502,0.0700838539321786,0.10249622077333906,Weak/Random
M&M.NS,0.00517453013297345,0.0586445205941154,0.03355794873702109,0.0051745301329734665,0.8058328406073332,Weak/Random
BAJFINANCE.NS,-0.012746601662532596,0.04202827045369704,0.02487175003901578,-0.012746601662532586,0.5448323928240193,Weak/Random
AXISBANK.NS,-0.013769508787288255,0.03152880805118593,-0.009686345184262252,-0.013769508787288257,0.5130351942335498,Weak/Random
JSWSTEEL.NS,-0.08756204748087558,0.02062405975390269,0.004651057440387682,-0.08756204748087563,3.0929768820644905e-05,Mean Reverting
TRENT.NS,0.052572228080761216,0.0015235028293029492,-0.0037728325654752997,0.05257222808076123,0.01245276508919095,Moderate Momentum
POLICYBZR.NS,0.0161494320631416,-0.011409448244257353,-0.0036939963481069675,0.016149432063141615,0.6001345273475122,Weak/Random
RECLTD.NS,-0.027281186504285734,0.023004848581155892,0.024829803572042695,-0.027281186504285737,0.19491712955137372,Weak/Random
GLENMARK.NS,0.02614213249323412,0.01820649186084381,-0.03649513568767704,0.026142132493234112,0.21432619019618815,Weak/Random
CHOLAFIN.NS,-0.016121822547892285,-0.0011249201061812439,0.020830343276089493,-0.016121822547892302,0.4437484354613842,Weak/Random
KEI.NS,0.047656114294270274,-0.008071078266576394,-0.00531200156899774,0.04765611429427025,0.02353871932095149,Weak/Random
SRF.NS,-0.024463999671170324,0.003559189517295941,0.041975607736667885,-0.02446399967117033,0.24533169826548715,Weak/Random
TATACONSUM.NS,-0.02406111300622208,0.01891561027472742,0.0035923509394396487,-0.02406111300622209,0.2529839214521355,Weak/Random
IGL.NS,0.0022960413354710754,0.040202457583997174,0.10621794314045162,0.002296041335471046,0.913148436311905,Weak/Random
DLF.NS,-0.05263351968002014,0.026844075759615938,0.01197693712250266,-0.05263351968002011,0.01235061417986709,Mean Reverting
SUNPHARMA.NS,-0.011423894365271569,0.014946735381271515,0.010816575553388703,-0.011423894365271532,0.5873482475310606,Weak/Random
LUPIN.NS,0.010044913063892585,-0.03238394696048055,-0.008441923161141448,0.010044913063892593,0.6332397566263571,Weak/Random
SHREECEM.NS,-0.010047053456990562,0.031121182843554827,0.015507709794719264,-0.010047053456990564,0.6333933413872093,Weak/Random
BSE.NS,0.10503241455562708,-0.0006595328382584358,0.03362743938460235,0.10503241455562705,6.43787045402317e-07,Strong Momentum
SHRIRAMFIN.NS,0.03687846764670582,-0.01647942578989251,-0.03325057773001359,0.03687846764670587,0.0797015510684752,Weak/Random
AMBUJACEM.NS,-0.030907444772015465,0.004076527437727405,0.011794175294220442,-0.03090744477201545,0.1419587389959841,Weak/Random
GAIL.NS,0.007100495455549866,-0.01045437232033228,-0.008228666311745387,0.007100495455549879,0.7358934168173829,Weak/Random
DABUR.NS,-0.046345945322134464,0.006054737577124613,-0.016209018007656534,-0.04634594532213446,0.02764766279115195,Weak/Random
VBL.NS,-0.03045428449475331,-0.006844142104325805,0.0076021890866403005,-0.0304542844947533,0.14789852458163874,Weak/Random
LODHA.NS,0.0645074443206483,-0.045050844934532965,0.01944911925577775,0.06450744432064828,0.025443473361121415,Moderate Momentum
BHARTIHEXA.NS,-0.13577112867272761,0.058479708093893516,0.023384394873567086,-0.13577112867272761,0.0035640262006165603,Mean Reverting
POWERGRID.NS,-0.05038574248014564,-0.007505572973482666,0.02334814034389297,-0.0503857424801456,0.01662142526313643,Mean Reverting
JIOFIN.NS,0.028607084265085528,-0.009200672662450296,0.01601090018937361,0.028607084265085514,0.47994070710944864,Weak/Random
GRASIM.NS,-0.04837230073315513,0.021658982693181797,0.03542510586090843,-0.04837230073315515,0.021495996711731847,Weak/Random
IRB.NS,0.06269271978755032,0.031659511951226495,0.02000882133277697,0.06269271978755035,0.0028730711229484106,Moderate Momentum
EICHERMOT.NS,0.005686522423370006,-0.014454536919645858,0.012904368318033793,0.005686522423369988,0.7870625768211073,Weak/Random
DMART.NS,0.07851939602457941,0.009856455758234477,0.013763468808161563,0.07851939602457941,0.0002236578758704659,Moderate Momentum
IRFC.NS,0.013276266014201404,0.09814665983892705,0.028673710898472145,0.013276266014201418,0.6388454233425844,Weak/Random
TVSMOTOR.NS,0.0086196552983403,0.0025438645295475975,0.026062872887556775,0.008619655298340329,0.6821992390408895,Weak/Random
KALYANKJIL.NS,0.007537822740894831,0.023093754344470457,-0.00023901154596479453,0.007537822740894854,0.7932033879741441,Weak/Random
JUBLFOOD.NS,-0.0062293616280262734,0.022871377771234106,0.006091111597910964,-0.00622936162802627,0.7672958016111063,Weak/Random
BAJAJFINSV.NS,0.00935018194059602,0.009549736405199117,0.0010521104487236671,0.00935018194059598,0.6569923146792083,Weak/Random
APOLLOHOSP.NS,0.009511461743181533,0.02509054135046557,0.0328145470732841,0.009511461743181543,0.6513916809507528,Weak/Random
RVNL.NS,0.09439605500885488,0.0392468591076391,0.0321841734466958,0.0943960550088549,9.84231546216047e-05,Moderate Momentum
ZYDUSLIFE.NS,0.015867696030494774,-0.006706912176130092,0.02970411478146486,0.015867696030494777,0.45096645283466047,Weak/Random
LT.NS,0.034804106732347094,0.024724482273474357,0.0018374196236854352,0.03480410673234708,0.09817065764937889,Weak/Random
ULTRACEMCO.NS,-0.031242677922527544,0.014302540927750754,0.0075759686929241015,-0.031242677922527582,0.1376837986471889,Weak/Random
HDFCAMC.NS,0.028112611763663708,0.05094649861897178,0.027875134171471035,0.028112611763663743,0.22531742523352005,Weak/Random
MANKIND.NS,-0.0419801806304359,0.015133486779404499,0.020031076831267248,-0.041980180630435904,0.2708029842968806,Weak/Random
SAIL.NS,-0.004977285867113654,0.017726561057882097,0.0235114231178877,-0.004977285867113625,0.8130946403908749,Weak/Random
ITCHOTELS.NS,-0.038223451259818166,0.03132841614921201,-0.0854865198855053,-0.03822345125981817,0.539486827235622,Weak/Random
ASIANPAINT.NS,0.0004815250919632896,-0.0037230675563178313,-0.049857597513496936,0.00048152509196327907,0.9817550541931535,Weak/Random
ADANIENSOL.NS,0.05204744957290344,0.010446953486083887,0.058311759423498755,0.052047449572903484,0.197404126717719,Weak/Random
TATAPOWER.NS,0.01131850372460656,-0.0009840747747306001,0.02258935757735216,0.01131850372460654,0.5908007927683793,Weak/Random
AUBANK.NS,0.07683192988518144,0.06571220163146242,-0.035710007650199056,0.0768319298851814,0.00038776670557878317,Moderate Momentum
BLUESTARCO.NS,0.058853917150620556,-0.02805282692015591,-0.01682890138164358,0.058853917150620515,0.005159530127116218,Moderate Momentum
BANKBARODA.NS,-0.021579746162960482,0.02731141050908064,0.02004543659057848,-0.021579746162960458,0.30526216721068294,Weak/Random
PFC.NS,-0.04264669052584995,0.042764952804783596,0.0021267973107349774,-0.042646690525849934,0.042687770620043426,Weak/Random
TATASTEEL.NS,-0.02616256928458917,0.02427719282776601,0.028737662605526418,-0.026162569284589206,0.213866486101089,Weak/Random
PIDILITIND.NS,-0.03474406661704116,0.048652001977856435,0.020122275183180688,-0.03474406661704116,0.09875224864063467,Weak/Random
NTPC.NS,-0.04423352262364599,0.021992913937066715,0.03390553699537238,-0.044233522623645966,0.0355324598819487,Weak/Random
ADANIGREEN.NS,0.24104934172397127,0.044186982365588316,0.013972068573366622,0.24104934172397127,1.7570804363348272e-26,Strong Momentum
IRCTC.NS,0.1554540171767219,0.03641530423340627,0.008063460120765385,0.15545401717672191,5.497444253799429e-10,Strong Momentum
NESTLEIND.NS,-0.03999452320603918,0.025420239349971244,0.03241579625258384,-0.03999452320603918,0.057408931100384926,Weak/Random
NHPC.NS,-0.07869239571612924,0.03618903307054863,0.006177136561034947,-0.07869239571612917,0.00018118386723662032,Mean Reverting
FEDERALBNK.NS,0.01757890345631646,0.04529144341054833,0.0010924740607191582,0.01757890345631645,0.4036565044500959,Weak/Random
IREDA.NS,0.19055617802485478,-0.022778540863650033,0.011883979002982098,0.19055617802485472,6.535474506553754e-06,Strong Momentum
PNB.NS,0.011107522370147576,0.033236881829841164,-0.0012277148917978352,0.011107522370147617,0.5977403216886884,Weak/Random
ATGL.NS,0.2169635861372075,0.052794879034187676,0.010630641782664,0.21696358613720754,1.1915366143478034e-20,Strong Momentum
ALKEM.NS,0.03084011443722825,0.00906207792902523,-0.029628241741310537,0.030840114437228235,0.14291807597626566,Weak/Random
DRREDDY.NS,0.03466137939331645,-0.0020988613754110556,-0.02945721106295481,0.034661379393316406,0.09955771155636998,Weak/Random
HDFCBANK.NS,0.030708529609604584,0.034899692192126575,-0.008028235035780968,0.03070852960960457,0.14454306969516492,Weak/Random
NMDC.NS,-0.007539596047432728,-0.014352374300132637,0.03442530542516376,-0.007539596047432731,0.7202267620069717,Weak/Random
SBIN.NS,-0.021762614919471342,0.06998056905168572,-0.042223105415791225,-0.021762614919471346,0.30118107832172103,Weak/Random
ABCAPITAL.NS,0.060121405662472864,0.05345868343523516,-0.01322900611549659,0.060121405662472864,0.0059348547720308445,Moderate Momentum
BHARATFORG.NS,-0.003273331737507034,-0.005580623659585876,0.030878920605767593,-0.0032733317375070454,0.8764603952053718,Weak/Random
TORNTPOWER.NS,-0.05659010114489494,0.04191229346925818,0.019714333289648982,-0.05659010114489498,0.00713803756026783,Mean Reverting
CGPOWER.NS,0.2140607372664372,0.008590605141686872,-0.02199409663668773,0.21406073726643723,7.988242453000072e-25,Strong Momentum
ICICIBANK.NS,-0.04111430232138325,0.07950906636932209,0.002644120318195297,-0.041114302321383245,0.0507173372428094,Weak/Random
ETERNAL.NS,-0.013037197266510864,-0.003942750357193348,-0.013071787812383997,-0.013037197266510875,0.6643719912544994,Weak/Random
SWIGGY.NS,0.050182799936710064,-0.08964039941055879,-0.029581471695019325,0.050182799936710105,0.3739525183246571,Weak/Random
MAXHEALTH.NS,-0.014864746217513922,-0.009952660312435585,0.02383227477890203,-0.01486474621751393,0.5834750626075279,Weak/Random
LICHSGFIN.NS,-0.013618508287734433,0.017925931003859984,0.0037948250255272022,-0.013618508287734424,0.5177603434907795,Weak/Random
GODFRYPHLP.NS,0.048094758167247224,0.01939574917940972,0.004549209899864858,0.048094758167247204,0.02228681389600574,Weak/Random
KOTAKBANK.NS,-0.019733257723780404,-0.0024001905485275124,0.02712318299016458,-0.019733257723780394,0.34851532719052664,Weak/Random
TITAN.NS,-0.0379074915985752,-0.0012950435731929136,0.029469124372680407,-0.03790749159857517,0.07164725149079655,Weak/Random
MARUTI.NS,0.011682819395807575,-0.029548388601890622,0.004762103790060373,0.011682819395807564,0.5789058710706794,Weak/Random
HINDALCO.NS,-0.035408897650381806,0.031102067261385515,0.011002244631438283,-0.035408897650381785,0.09246350893266808,Weak/Random
DIVISLAB.NS,0.019094402366030813,-0.035297832443272,-0.01127231925807559,0.019094402366030834,0.36445119715201496,Weak/Random
VOLTAS.NS,-0.03269423452401642,0.03124994969887634,0.0023563035905729605,-0.032694234524016444,0.12030910721510371,Weak/Random
PAYTM.NS,0.10988382768450375,0.060718865007938355,-0.0017500297627797174,0.10988382768450378,0.00035155113234327926,Strong Momentum
BAJAJHFL.NS,-0.09370663367965983,-0.047575316803673745,0.05011258707555573,-0.09370663367965983,0.07702448350348205,Mean Reverting
NTPCGREEN.NS,0.0334049064969202,-0.09395567000960496,-0.07724779172173625,0.03340490649692018,0.5591980947739661,Weak/Random
VEDL.NS,-0.005850163525766322,-0.0002258492527477768,0.01533462166988516,-0.005850163525766307,0.7810887066893024,Weak/Random
INDHOTEL.NS,-0.030779622680045943,0.014500641104335481,0.0030202462089482544,-0.030779622680045932,0.1437040856255454,Weak/Random
INDUSTOWER.NS,-0.03184737917003274,-0.0289125598641357,-0.01056415149334658,-0.03184737917003273,0.13022425261902607,Weak/Random
OIL.NS,0.04282601486678531,-0.016791178170246723,0.023636684963708406,0.04282601486678528,0.041822488823915004,Weak/Random
MOTILALOFS.NS,0.00274293512779022,0.03111565242033673,-0.012986192782473675,0.002742935127790259,0.8963315458104264,Weak/Random
TATACOMM.NS,0.09002087152270079,0.021378323384712707,-0.006660282882124514,0.09002087152270083,1.8357883652301766e-05,Moderate Momentum
HINDPETRO.NS,-0.013894091267651355,-0.016764623404334943,0.0035882068993830034,-0.013894091267651367,0.5092295960560386,Weak/Random
IDFCFIRSTB.NS,0.024912249250349155,0.027165651457421666,-0.02147801709042457,0.02491224925034914,0.2365789298562195,Weak/Random
NYKAA.NS,0.10422486720459967,-0.07138406783518718,-0.018276181546669826,0.10422486720459971,0.0006813780585558098,Strong Momentum
RELIANCE.NS,-0.012027334112013573,0.021698044528600066,-0.005425364070258238,-0.012027334112013578,0.5677619463409528,Weak/Random
BPCL.NS,0.01611004670300402,-0.008121387385279849,-0.0022806897584033902,0.016110046703004022,0.44408144397067006,Weak/Random
LTF.NS,0.013400599189199645,0.041698117390252636,0.008905218487327705,0.013400599189199662,0.5243904324087854,Weak/Random
BHEL.NS,0.009698104610333113,0.03094932138341312,0.005740555348152274,0.009698104610333122,0.6450164895337244,Weak/Random
HYUNDAI.NS,0.04570932707826462,-0.015300615712153362,0.04934762394489469,0.045709327078264625,0.4064503955388513,Weak/Random
INDIANB.NS,0.02355014940512946,0.0012171930280168168,0.02226714664425124,0.023550149405129464,0.2632044589901257,Weak/Random
IOC.NS,-0.00036122424659996684,0.008624725572501579,0.04002907698098276,-0.0003612242465999573,0.9863096884217285,Weak/Random
COROMANDEL.NS,-0.026350049589219902,-0.0015218654110697206,0.032914021153099667,-0.02635004958921991,0.21060117652783328,Weak/Random
BAJAJHLDNG.NS,0.06839258341714063,0.00877759887839175,-0.005693992054448659,0.06839258341714073,0.0011492105183652116,Moderate Momentum
SBICARD.NS,-0.01685974357689101,0.06048834320215748,0.05703583902175094,-0.016859743576891018,0.5181962137797019,Weak/Random
VMM.NS,-0.07462204701532704,-0.055720642858791615,-0.02043073555157499,-0.07462204701532697,0.20357001092908633,Mean Reverting
HUDCO.NS,0.042992502173981574,0.04630517692368592,0.004198290588958026,0.042992502173981526,0.045429672096821985,Weak/Random
FORTIS.NS,-0.04680471979648654,-0.02806803556484218,0.02010322669848476,-0.04680471979648653,0.026110351062472385,Weak/Random
ADANIPOWER.NS,0.14067020818859816,0.00233770134796645,0.02015517052392672,0.1406702081885981,1.87264967151263e-11,Strong Momentum
ACC.NS,0.006944217867893917,0.031064200999329494,0.04351255701319935,0.0069442178678939415,0.7414962250940645,Weak/Random
CUMMINSIND.NS,0.012582875113282582,0.0005787408269248736,-0.020617411314283365,0.012582875113282578,0.5500995993983616,Weak/Random
JINDALSTEL.NS,-0.03340815960802718,0.03042719397700763,0.006328419515663512,-0.033408159608027156,0.11249751071819425,Weak/Random
ASHOKLEY.NS,0.02120351319212173,-0.03194734666312399,0.026547533564084916,0.02120351319212174,0.3137733704698042,Weak/Random
TIINDIA.NS,0.04575081728052943,0.05107823594916801,-0.053857576199425515,0.045750817280529425,0.03833287159872397,Weak/Random
ENRIN.NS,0.1980762682496618,0.05922808210777474,0.01663539464134768,0.19807626824966176,0.010762620382479644,Strong Momentum
MUTHOOTFIN.NS,-0.02548143106671123,0.023123536153637724,0.012206496267910736,-0.025481431066711233,0.22603662531227342,Weak/Random
HINDZINC.NS,0.01830815109930411,0.02700978240291237,-0.01995316123648648,0.018308151099304084,0.3844325268960162,Weak/Random
360ONE.NS,0.0037297919322505646,-0.004431143502494461,0.03989302715689912,0.0037297919322505767,0.8819366376547815,Weak/Random
GMRAIRPORT.NS,-0.03514872465138511,0.0004184961047859029,-0.0023487668242848543,-0.03514872465138512,0.09488514286596168,Weak/Random
JSWENERGY.NS,0.0073966128163644495,0.010707797959042496,-0.016148509356800587,0.007396612816364436,0.725315749179117,Weak/Random
DIXON.NS,0.06229917232511056,0.00746585716048094,0.01946119650372843,0.06229917232511058,0.0044497375224591355,Moderate Momentum
INDIGO.NS,0.044910541581093616,-0.0008050889191649332,-0.007428279756492156,0.044910541581093595,0.03280629946001641,Weak/Random
M&MFIN.NS,-0.003973781846880814,0.04083805890544029,0.05443902515308071,-0.00397378184688081,0.8502763443912219,Weak/Random
SUZLON.NS,0.18921677229591266,-0.029945600949145765,0.013695638794455203,0.18921677229591252,1.186368589398808e-19,Strong Momentum
PREMIERENE.NS,0.12345518313717814,-0.06280914525997461,-0.12294371459275012,0.12345518313717817,0.018137306468105234,Strong Momentum
WAAREEENER.NS,0.14747706364864288,-0.08568872447971547,-0.012561752694121684,0.14747706364864296,0.007464668426833861,Strong Momentum
BIOCON.NS,-0.02729179158967923,-0.05987060872443489,0.006032530284586396,-0.02729179158967923,0.19484249881579693,Weak/Random
PATANJALI.NS,0.21031779703815948,-0.011854664398324223,0.02735193578488662,0.2103177970381595,5.310840344763925e-24,Strong Momentum
POWERINDIA.NS,0.06109786964225101,0.010904247326596164,-0.015659128047059493,0.06109786964225105,0.01951580621706186,Moderate Momentum
